Game_ID,Color,Score,Thomatines,Gamelles,Won,Player_ID
b0e219c8-56dd-4ba0-af26-4abb265997c4,Rouge,10,0,0,true,31107618-4868-4631-a3f6-125f01674432
bc0ff7ea-c663-4543-b52b-afbd84679026,Blanc,10,1,0,true,31107618-4868-4631-a3f6-125f01674432
e23640dd-f510-41ab-8364-d3784510933b,Blanc,0,2,0,false,858be7a9-0b54-4fd3-b7bc-421ba2540dd6
fc7a7f80-cbdd-411c-bcc1-d6815ae070e1,Blanc,10,0,0,true,ba1b2389-ece7-448b-814b-4053c24f9231
676640e6-e5ce-4936-9f43-fb00bfdd5f66,Blanc,10,0,0,true,ba1b2389-ece7-448b-814b-4053c24f9231
cc9ccf52-33d7-4999-b65c-38baa4fdfe4d,Blanc,10,2,1,true,ba1b2389-ece7-448b-814b-4053c24f9231
c48bb987-71bb-4418-8d3c-bcb9a1f7991a,Blanc,5,1,0,false,31107618-4868-4631-a3f6-125f01674432
4088eae0-a59d-4391-b7ff-725c1817196c,Blanc,2,1,0,false,858be7a9-0b54-4fd3-b7bc-421ba2540dd6
e52e1444-d18b-4e9a-80fd-7687e09d5309,Blanc,2,0,0,false,858be7a9-0b54-4fd3-b7bc-421ba2540dd6
d6cc595c-0891-49c1-b46b-2cbefe7f19ec,Blanc,3,1,0,false,858be7a9-0b54-4fd3-b7bc-421ba2540dd6
ced69b0b-1000-41bc-9cc3-7d57c648dd0d,Blanc,9,1,0,false,31107618-4868-4631-a3f6-125f01674432
82ad54a0-40d8-42ea-a014-aec7da85e5db,Blanc,10,0,0,true,31107618-4868-4631-a3f6-125f01674432
f88ad733-00ed-4282-953c-dd033b574b7f,Blanc,10,0,1,true,ba1b2389-ece7-448b-814b-4053c24f9231
595f1d33-0ef2-4a68-bd0d-f65473c0b4a6,Blanc,10,2,0,true,31107618-4868-4631-a3f6-125f01674432
99f6b7e9-2028-428c-badc-4eaddaa2f8ab,Blanc,9,0,0,false,ba1b2389-ece7-448b-814b-4053c24f9231
532731e2-0465-4ce1-8b0c-b43fbf6eb16a,Blanc,10,0,0,true,ba1b2389-ece7-448b-814b-4053c24f9231
b2f55907-8634-4c4b-8aa5-878c213b49fb,Blanc,5,0,0,false,31107618-4868-4631-a3f6-125f01674432
8492b299-2bed-4932-b7ea-9a1b6bdbcf39,Blanc,7,1,0,false,31107618-4868-4631-a3f6-125f01674432
c11b9d08-dc42-47a5-b79a-55d5495047ea,Rouge,10,0,0,true,31107618-4868-4631-a3f6-125f01674432
4d95f571-b6c9-42b5-bf4b-c90dd378a9c4,Blanc,9,0,0,false,31107618-4868-4631-a3f6-125f01674432
9aad735a-bf69-400b-9a5d-426c31615ea2,Blanc,9,2,0,false,ba1b2389-ece7-448b-814b-4053c24f9231
8cf31e42-4e90-47a2-8c64-6e70e0136bbc,Blanc,6,0,0,false,31107618-4868-4631-a3f6-125f01674432
35217dc1-99d1-4563-8020-7fb99ff5f6df,Blanc,10,1,0,true,ba1b2389-ece7-448b-814b-4053c24f9231
d23055fd-b4e1-42d1-ae55-9b363ff16f91,Blanc,7,1,0,false,31107618-4868-4631-a3f6-125f01674432
cf1e7a58-e2f4-4358-b902-fa103e250f9d,Rouge,7,2,0,false,31107618-4868-4631-a3f6-125f01674432
b65058f8-4c3f-4688-b8be-0c1a09f1e52e,Rouge,7,0,0,false,31107618-4868-4631-a3f6-125f01674432
67579e3b-6636-443e-87a6-fc8943968f6c,Rouge,10,0,1,true,31107618-4868-4631-a3f6-125f01674432
2d0527a2-461e-4d16-8ee8-4ce3bddd7fa8,Blanc,3,0,0,false,31107618-4868-4631-a3f6-125f01674432
4a44ed93-74c6-44f2-9a09-163584d28d62,Rouge,10,0,0,true,31107618-4868-4631-a3f6-125f01674432
9cb70ccd-f10a-4d81-bc0a-402ce403f885,Blanc,5,2,0,false,31107618-4868-4631-a3f6-125f01674432
11163f48-d84c-4a32-9c4d-b1590e8574c6,Rouge,5,0,0,false,31107618-4868-4631-a3f6-125f01674432
